#E_pot  E_kin  T  P
-1.951558e-04 7.578640e+02 3.038336e+02 8.389752e+02
-1.733691e-04 7.576153e+02 3.037339e+02 8.386999e+02
-1.551186e-04 7.570057e+02 3.034895e+02 8.380250e+02
-1.394299e-04 7.594255e+02 3.044596e+02 8.407038e+02
-1.258905e-04 7.602734e+02 3.047996e+02 8.416425e+02
-1.143943e-04 7.641570e+02 3.063566e+02 8.459417e+02
-1.045376e-04 7.596614e+02 3.045542e+02 8.409650e+02
-9.568317e-05 7.563302e+02 3.032187e+02 8.372772e+02
-8.762981e-05 7.605178e+02 3.048976e+02 8.419130e+02
-8.015887e-05 7.643080e+02 3.064171e+02 8.461089e+02
-7.329985e-05 7.585428e+02 3.041057e+02 8.397266e+02
-6.719460e-05 7.617783e+02 3.054029e+02 8.433084e+02
-6.169738e-05 7.594439e+02 3.044670e+02 8.407242e+02
-5.672151e-05 7.643309e+02 3.064263e+02 8.461342e+02
-5.219668e-05 7.652315e+02 3.067873e+02 8.471312e+02
-4.818306e-05 7.610035e+02 3.050923e+02 8.424507e+02
-4.461305e-05 7.577611e+02 3.037924e+02 8.388613e+02
-4.140376e-05 7.589101e+02 3.042530e+02 8.401333e+02
-3.853327e-05 7.550895e+02 3.027213e+02 8.359037e+02
-3.590128e-05 7.527189e+02 3.017709e+02 8.332794e+02
-3.351334e-05 7.518725e+02 3.014316e+02 8.323425e+02
-3.139086e-05 7.546919e+02 3.025619e+02 8.354635e+02
-2.953453e-05 7.502675e+02 3.007881e+02 8.305656e+02
-2.790169e-05 7.498223e+02 3.006096e+02 8.300728e+02
-2.644872e-05 7.481074e+02 2.999221e+02 8.281744e+02
-2.518706e-05 7.493013e+02 3.004008e+02 8.294961e+02
-2.407673e-05 7.480578e+02 2.999022e+02 8.281194e+02
-2.309313e-05 7.477636e+02 2.997843e+02 8.277938e+02
-2.223848e-05 7.486751e+02 3.001497e+02 8.288029e+02
-2.148274e-05 7.461726e+02 2.991465e+02 8.260325e+02
-2.081358e-05 7.419079e+02 2.974367e+02 8.213113e+02
-2.024882e-05 7.436750e+02 2.981452e+02 8.232676e+02
-1.978794e-05 7.400898e+02 2.967078e+02 8.192987e+02
-1.940413e-05 7.437375e+02 2.981702e+02 8.233368e+02
-1.908834e-05 7.435244e+02 2.980848e+02 8.231009e+02
-1.884375e-05 7.449970e+02 2.986751e+02 8.247311e+02
-1.865480e-05 7.438150e+02 2.982013e+02 8.234225e+02
-1.852621e-05 7.408627e+02 2.970177e+02 8.201543e+02
-1.845316e-05 7.419553e+02 2.974557e+02 8.213638e+02
-1.843068e-05 7.430153e+02 2.978807e+02 8.225373e+02
-1.846009e-05 7.476527e+02 2.997398e+02 8.276710e+02
-1.852878e-05 7.463026e+02 2.991986e+02 8.261764e+02
-1.863818e-05 7.423357e+02 2.976082e+02 8.217849e+02
-1.877907e-05 7.383936e+02 2.960278e+02 8.174209e+02
-1.895329e-05 7.377501e+02 2.957698e+02 8.167086e+02
-1.916991e-05 7.393261e+02 2.964016e+02 8.184532e+02
-1.941929e-05 7.415142e+02 2.972789e+02 8.208755e+02
-1.969907e-05 7.409018e+02 2.970333e+02 8.201975e+02
-2.000033e-05 7.446040e+02 2.985176e+02 8.242960e+02
-2.030851e-05 7.413359e+02 2.972074e+02 8.206782e+02
-2.062682e-05 7.424514e+02 2.976546e+02 8.219130e+02
-2.096336e-05 7.408050e+02 2.969945e+02 8.200905e+02
-2.132696e-05 7.382991e+02 2.959899e+02 8.173163e+02
-2.170455e-05 7.453389e+02 2.988122e+02 8.251095e+02
-2.210110e-05 7.460510e+02 2.990977e+02 8.258979e+02
-2.253963e-05 7.489213e+02 3.002484e+02 8.290754e+02
-2.301225e-05 7.470756e+02 2.995085e+02 8.270321e+02
-2.351930e-05 7.458845e+02 2.990310e+02 8.257136e+02
-2.404726e-05 7.465883e+02 2.993131e+02 8.264927e+02
-2.458051e-05 7.456498e+02 2.989368e+02 8.254537e+02
-2.512346e-05 7.501663e+02 3.007475e+02 8.304536e+02
-2.568144e-05 7.400144e+02 2.966776e+02 8.192152e+02
-2.625380e-05 7.377869e+02 2.957846e+02 8.167493e+02
-2.682148e-05 7.359620e+02 2.950529e+02 8.147291e+02
-2.739285e-05 7.354415e+02 2.948443e+02 8.141529e+02
-2.797566e-05 7.362047e+02 2.951502e+02 8.149978e+02
-2.857664e-05 7.400812e+02 2.967044e+02 8.192892e+02
-2.922676e-05 7.393375e+02 2.964062e+02 8.184659e+02
-2.995833e-05 7.367321e+02 2.953617e+02 8.155817e+02
-3.073718e-05 7.385973e+02 2.961094e+02 8.176464e+02
-3.148323e-05 7.404243e+02 2.968419e+02 8.196690e+02
-3.220053e-05 7.444157e+02 2.984421e+02 8.240876e+02
-3.297956e-05 7.440204e+02 2.982836e+02 8.236500e+02
-3.384222e-05 7.445680e+02 2.985031e+02 8.242561e+02
-3.472575e-05 7.388579e+02 2.962139e+02 8.179349e+02
-3.565167e-05 7.393279e+02 2.964024e+02 8.184553e+02
-3.664006e-05 7.380767e+02 2.959008e+02 8.170702e+02
-3.764678e-05 7.404702e+02 2.968603e+02 8.197198e+02
-3.867353e-05 7.413858e+02 2.972274e+02 8.207333e+02
-3.971804e-05 7.426367e+02 2.977289e+02 8.221182e+02
-4.072018e-05 7.432753e+02 2.979849e+02 8.228251e+02
-4.165086e-05 7.415512e+02 2.972937e+02 8.209164e+02
-4.252141e-05 7.446660e+02 2.985424e+02 8.243646e+02
-4.329906e-05 7.464038e+02 2.992391e+02 8.262885e+02
-4.401461e-05 7.443011e+02 2.983961e+02 8.239607e+02
-4.473685e-05 7.453795e+02 2.988285e+02 8.251545e+02
-4.550706e-05 7.466691e+02 2.993455e+02 8.265822e+02
-4.635694e-05 7.420151e+02 2.974797e+02 8.214301e+02
-4.716902e-05 7.410951e+02 2.971108e+02 8.204115e+02
-4.782008e-05 7.419368e+02 2.974483e+02 8.213434e+02
-4.837553e-05 7.421589e+02 2.975373e+02 8.215892e+02
-4.890048e-05 7.415691e+02 2.973009e+02 8.209363e+02
-4.929629e-05 7.420435e+02 2.974911e+02 8.214614e+02
-4.954745e-05 7.393410e+02 2.964076e+02 8.184697e+02
-4.973025e-05 7.378514e+02 2.958104e+02 8.168208e+02
-4.994080e-05 7.352802e+02 2.947796e+02 8.139743e+02
-5.017412e-05 7.409599e+02 2.970567e+02 8.202620e+02
-5.041183e-05 7.443938e+02 2.984333e+02 8.240633e+02
-5.074262e-05 7.408312e+02 2.970050e+02 8.201194e+02
-5.112651e-05 7.389162e+02 2.962373e+02 8.179994e+02
-5.146380e-05 7.365831e+02 2.953019e+02 8.154167e+02
-5.172198e-05 7.321513e+02 2.935252e+02 8.105106e+02
-5.193557e-05 7.388267e+02 2.962014e+02 8.179004e+02
-5.208645e-05 7.404565e+02 2.968548e+02 8.197047e+02
-5.223651e-05 7.390979e+02 2.963102e+02 8.182006e+02
-5.241311e-05 7.431454e+02 2.979328e+02 8.226814e+02
-5.256061e-05 7.453572e+02 2.988195e+02 8.251298e+02
-5.266809e-05 7.465226e+02 2.992868e+02 8.264200e+02
-5.269589e-05 7.447342e+02 2.985698e+02 8.244402e+02
-5.262941e-05 7.435649e+02 2.981010e+02 8.231458e+02
-5.252022e-05 7.451429e+02 2.987336e+02 8.248926e+02
-5.244306e-05 7.481487e+02 2.999387e+02 8.282201e+02
-5.232409e-05 7.476388e+02 2.997343e+02 8.276556e+02
-5.213465e-05 7.483978e+02 3.000386e+02 8.284959e+02
-5.181593e-05 7.483798e+02 3.000313e+02 8.284759e+02
-5.133553e-05 7.469299e+02 2.994501e+02 8.268709e+02
-5.074346e-05 7.446290e+02 2.985276e+02 8.243237e+02
-5.010415e-05 7.479493e+02 2.998587e+02 8.279993e+02
-4.959391e-05 7.517843e+02 3.013962e+02 8.322448e+02
-4.925722e-05 7.501894e+02 3.007568e+02 8.304792e+02
-4.900094e-05 7.517552e+02 3.013845e+02 8.322126e+02
-4.875576e-05 7.520329e+02 3.014959e+02 8.325200e+02
-4.851097e-05 7.507129e+02 3.009667e+02 8.310587e+02
-4.827466e-05 7.518171e+02 3.014094e+02 8.322811e+02
-4.806785e-05 7.539060e+02 3.022468e+02 8.345935e+02
-4.791166e-05 7.505410e+02 3.008978e+02 8.308684e+02
-4.774896e-05 7.492749e+02 3.003902e+02 8.294668e+02
-4.760015e-05 7.484467e+02 3.000582e+02 8.285500e+02
-4.756155e-05 7.474987e+02 2.996781e+02 8.275006e+02
-4.767545e-05 7.522851e+02 3.015970e+02 8.327992e+02
-4.787360e-05 7.514397e+02 3.012581e+02 8.318633e+02
-4.806255e-05 7.521285e+02 3.015342e+02 8.326259e+02
-4.822907e-05 7.502732e+02 3.007904e+02 8.305720e+02
-4.843597e-05 7.506668e+02 3.009482e+02 8.310077e+02
-4.874573e-05 7.468988e+02 2.994376e+02 8.268365e+02
-4.914175e-05 7.464199e+02 2.992456e+02 8.263062e+02
-4.953469e-05 7.444639e+02 2.984614e+02 8.241410e+02
-4.984033e-05 7.417197e+02 2.973613e+02 8.211031e+02
-5.008660e-05 7.402037e+02 2.967535e+02 8.194248e+02
-5.035903e-05 7.456626e+02 2.989420e+02 8.254680e+02
-5.071428e-05 7.463677e+02 2.992247e+02 8.262485e+02
-5.113796e-05 7.432017e+02 2.979554e+02 8.227436e+02
-5.160668e-05 7.444720e+02 2.984647e+02 8.241499e+02
-5.214863e-05 7.421292e+02 2.975254e+02 8.215564e+02
-5.274054e-05 7.398762e+02 2.966222e+02 8.190622e+02
-5.329132e-05 7.380519e+02 2.958908e+02 8.170427e+02
-5.374643e-05 7.403152e+02 2.967982e+02 8.195482e+02
-5.409138e-05 7.385921e+02 2.961074e+02 8.176407e+02
-5.441049e-05 7.372671e+02 2.955762e+02 8.161739e+02
-5.475441e-05 7.384910e+02 2.960668e+02 8.175288e+02
-5.509083e-05 7.400017e+02 2.966725e+02 8.192012e+02
-5.538407e-05 7.391027e+02 2.963121e+02 8.182059e+02
-5.551145e-05 7.423447e+02 2.976118e+02 8.217949e+02
-5.549519e-05 7.440131e+02 2.982807e+02 8.236418e+02
-5.541330e-05 7.483150e+02 3.000054e+02 8.284042e+02
-5.527527e-05 7.485476e+02 3.000986e+02 8.286617e+02
-5.514255e-05 7.505441e+02 3.008990e+02 8.308719e+02
-5.497763e-05 7.503615e+02 3.008258e+02 8.306697e+02
-5.471624e-05 7.513104e+02 3.012063e+02 8.317202e+02
-5.430520e-05 7.516401e+02 3.013384e+02 8.320852e+02
-5.374772e-05 7.508572e+02 3.010245e+02 8.312184e+02
-5.308860e-05 7.482615e+02 2.999839e+02 8.283450e+02
-5.237339e-05 7.493405e+02 3.004165e+02 8.295394e+02
-5.162415e-05 7.505856e+02 3.009156e+02 8.309178e+02
-5.082154e-05 7.544449e+02 3.024629e+02 8.351902e+02
-4.996346e-05 7.554961e+02 3.028843e+02 8.363539e+02
-4.910156e-05 7.536813e+02 3.021567e+02 8.343448e+02
-4.829150e-05 7.540844e+02 3.023184e+02 8.347911e+02
-4.752420e-05 7.552154e+02 3.027718e+02 8.360432e+02
-4.682249e-05 7.564082e+02 3.032500e+02 8.373636e+02
-4.615328e-05 7.553114e+02 3.028103e+02 8.361494e+02
-4.548979e-05 7.576265e+02 3.037384e+02 8.387122e+02
-4.485122e-05 7.561697e+02 3.031544e+02 8.370996e+02
-4.423723e-05 7.584929e+02 3.040858e+02 8.396714e+02
-4.371393e-05 7.594040e+02 3.044510e+02 8.406800e+02
-4.331876e-05 7.569149e+02 3.034531e+02 8.379246e+02
-4.303409e-05 7.557104e+02 3.029702e+02 8.365911e+02
-4.285117e-05 7.580521e+02 3.039091e+02 8.391835e+02
-4.283990e-05 7.584180e+02 3.040557e+02 8.395885e+02
-4.300913e-05 7.597577e+02 3.045928e+02 8.410715e+02
-4.330817e-05 7.623188e+02 3.056196e+02 8.439067e+02
-4.378948e-05 7.653567e+02 3.068375e+02 8.472698e+02
-4.451632e-05 7.642362e+02 3.063883e+02 8.460294e+02
-4.556089e-05 7.643936e+02 3.064514e+02 8.462037e+02
-4.694819e-05 7.625082e+02 3.056955e+02 8.441164e+02
-4.862166e-05 7.668274e+02 3.074271e+02 8.488979e+02
-5.058935e-05 7.676533e+02 3.077582e+02 8.498122e+02
-5.292988e-05 7.679854e+02 3.078914e+02 8.501798e+02
-5.575420e-05 7.719876e+02 3.094959e+02 8.546104e+02
-5.916796e-05 7.709288e+02 3.090714e+02 8.534383e+02
-6.323755e-05 7.743618e+02 3.104477e+02 8.572387e+02
-6.804301e-05 7.744996e+02 3.105030e+02 8.573912e+02
-7.354135e-05 7.737825e+02 3.102155e+02 8.565973e+02
-7.979304e-05 7.700194e+02 3.087068e+02 8.524315e+02
-8.711487e-05 7.708598e+02 3.090437e+02 8.533619e+02
-9.548971e-05 7.685650e+02 3.081237e+02 8.508214e+02
-1.049976e-04 7.655445e+02 3.069128e+02 8.474776e+02
-1.159901e-04 7.663656e+02 3.072420e+02 8.483866e+02
-1.284089e-04 7.684462e+02 3.080761e+02 8.506899e+02
-1.414580e-04 7.675677e+02 3.077239e+02 8.497174e+02
-1.546879e-04 7.684582e+02 3.080809e+02 8.507033e+02
-1.686457e-04 7.652863e+02 3.068093e+02 8.471919e+02
-1.831893e-04 7.644580e+02 3.064772e+02 8.462749e+02
-1.981839e-04 7.653740e+02 3.068444e+02 8.472889e+02
-2.136925e-04 7.655121e+02 3.068998e+02 8.474419e+02
-2.298896e-04 7.650514e+02 3.067151e+02 8.469318e+02
-2.471814e-04 7.623769e+02 3.056429e+02 8.439711e+02
-2.651558e-04 7.598562e+02 3.046323e+02 8.411806e+02
-2.843752e-04 7.556334e+02 3.029394e+02 8.365059e+02
-3.040318e-04 7.530332e+02 3.018969e+02 8.336273e+02
-3.214910e-04 7.552925e+02 3.028027e+02 8.361285e+02
-3.368310e-04 7.602665e+02 3.047968e+02 8.416349e+02
-3.502363e-04 7.593264e+02 3.044199e+02 8.405941e+02
-3.620145e-04 7.639949e+02 3.062916e+02 8.457622e+02
-3.698054e-04 7.642796e+02 3.064057e+02 8.460774e+02
-3.719673e-04 7.682863e+02 3.080120e+02 8.505129e+02
-3.695621e-04 7.685388e+02 3.081132e+02 8.507924e+02
-3.617338e-04 7.741532e+02 3.103641e+02 8.570078e+02
-3.505410e-04 7.773737e+02 3.116552e+02 8.605729e+02
-3.376343e-04 7.736494e+02 3.101621e+02 8.564501e+02
-3.216881e-04 7.739670e+02 3.102895e+02 8.568017e+02
-3.030058e-04 7.751808e+02 3.107761e+02 8.581454e+02
-2.837673e-04 7.760555e+02 3.111268e+02 8.591137e+02
-2.634683e-04 7.792384e+02 3.124028e+02 8.626372e+02
-2.425814e-04 7.822699e+02 3.136182e+02 8.659932e+02
-2.216121e-04 7.798386e+02 3.126434e+02 8.633016e+02
-2.017058e-04 7.804106e+02 3.128728e+02 8.639349e+02
-1.833802e-04 7.760586e+02 3.111280e+02 8.591171e+02
-1.660847e-04 7.753950e+02 3.108620e+02 8.583825e+02
-1.499322e-04 7.735929e+02 3.101395e+02 8.563875e+02
-1.351832e-04 7.769242e+02 3.114750e+02 8.600754e+02
-1.224721e-04 7.750762e+02 3.107341e+02 8.580296e+02
-1.114670e-04 7.747313e+02 3.105959e+02 8.576478e+02
-1.017487e-04 7.776122e+02 3.117508e+02 8.608369e+02
-9.277037e-05 7.868160e+02 3.154407e+02 8.710258e+02
-8.453433e-05 7.838118e+02 3.142363e+02 8.677001e+02
-7.724837e-05 7.872344e+02 3.156085e+02 8.714890e+02
-7.058938e-05 7.874710e+02 3.157033e+02 8.717509e+02
-6.435901e-05 7.882529e+02 3.160168e+02 8.726164e+02
-5.863471e-05 7.857861e+02 3.150278e+02 8.698857e+02
-5.339526e-05 7.839922e+02 3.143086e+02 8.678998e+02
-4.865311e-05 7.897808e+02 3.166293e+02 8.743079e+02
-4.454526e-05 7.861950e+02 3.151917e+02 8.703383e+02
-4.092220e-05 7.890344e+02 3.163301e+02 8.734816e+02
-3.775903e-05 7.866898e+02 3.153901e+02 8.708861e+02
-3.515048e-05 7.880225e+02 3.159244e+02 8.723615e+02
-3.300018e-05 7.872641e+02 3.156204e+02 8.715218e+02
-3.123559e-05 7.901178e+02 3.167644e+02 8.746810e+02
-2.981376e-05 7.935116e+02 3.181250e+02 8.784380e+02
-2.870721e-05 7.942766e+02 3.184317e+02 8.792848e+02
-2.795029e-05 7.959015e+02 3.190832e+02 8.810837e+02
-2.753258e-05 8.002047e+02 3.208083e+02 8.858474e+02
-2.743598e-05 8.016322e+02 3.213807e+02 8.874278e+02
-2.765747e-05 8.055736e+02 3.229608e+02 8.917910e+02
-2.821441e-05 8.045274e+02 3.225414e+02 8.906328e+02
-2.913937e-05 8.054734e+02 3.229206e+02 8.916801e+02
-3.048003e-05 8.018651e+02 3.214740e+02 8.876855e+02
-3.230991e-05 8.020570e+02 3.215510e+02 8.878980e+02
-3.471995e-05 7.978922e+02 3.198812e+02 8.832874e+02
-3.784436e-05 7.991444e+02 3.203833e+02 8.846737e+02
-4.184511e-05 8.012492e+02 3.212271e+02 8.870037e+02
-4.703433e-05 7.986697e+02 3.201930e+02 8.841482e+02
-5.374698e-05 7.942493e+02 3.184208e+02 8.792547e+02
-6.233436e-05 7.916724e+02 3.173877e+02 8.764020e+02
-7.346133e-05 7.929261e+02 3.178903e+02 8.777899e+02
-8.805244e-05 7.946843e+02 3.185952e+02 8.797362e+02
-1.071624e-04 7.954840e+02 3.189158e+02 8.806215e+02
-1.321994e-04 7.938603e+02 3.182648e+02 8.788240e+02
-1.659765e-04 7.923653e+02 3.176655e+02 8.771690e+02
-2.123878e-04 7.942460e+02 3.184195e+02 8.792510e+02
-2.744256e-04 7.979324e+02 3.198974e+02 8.833319e+02
-3.570378e-04 7.962857e+02 3.192372e+02 8.815090e+02
-4.684891e-04 7.964918e+02 3.193198e+02 8.817372e+02
-6.229609e-04 7.999731e+02 3.207155e+02 8.855911e+02
-8.414059e-04 7.994604e+02 3.205100e+02 8.850235e+02
-1.159389e-03 7.980406e+02 3.199407e+02 8.834517e+02
-1.623927e-03 8.003120e+02 3.208514e+02 8.859662e+02
