#E_pot  E_kin  T  P
-1.069936e-04 7.246184e+02 2.905052e+02 8.021715e+02
-1.003925e-04 7.246146e+02 2.905037e+02 8.021672e+02
-9.432117e-05 7.246450e+02 2.905159e+02 8.022009e+02
-8.874539e-05 7.246594e+02 2.905217e+02 8.022169e+02
-8.363062e-05 7.246678e+02 2.905250e+02 8.022261e+02
-7.894086e-05 7.246685e+02 2.905253e+02 8.022269e+02
-7.463943e-05 7.246872e+02 2.905328e+02 8.022476e+02
-7.069152e-05 7.246627e+02 2.905230e+02 8.022204e+02
-6.706426e-05 7.246919e+02 2.905347e+02 8.022528e+02
-6.372682e-05 7.247226e+02 2.905470e+02 8.022868e+02
-6.064983e-05 7.247243e+02 2.905476e+02 8.022886e+02
-5.780725e-05 7.247021e+02 2.905388e+02 8.022641e+02
-5.517712e-05 7.247662e+02 2.905644e+02 8.023350e+02
-5.273908e-05 7.247768e+02 2.905687e+02 8.023468e+02
-5.047386e-05 7.247246e+02 2.905478e+02 8.022891e+02
-4.836441e-05 7.247438e+02 2.905555e+02 8.023103e+02
-4.639526e-05 7.247218e+02 2.905467e+02 8.022859e+02
-4.455254e-05 7.247029e+02 2.905391e+02 8.022650e+02
-4.282498e-05 7.246921e+02 2.905348e+02 8.022531e+02
-4.120227e-05 7.246811e+02 2.905304e+02 8.022409e+02
-3.967499e-05 7.246701e+02 2.905259e+02 8.022286e+02
-3.823551e-05 7.246883e+02 2.905332e+02 8.022488e+02
-3.687714e-05 7.247056e+02 2.905402e+02 8.022679e+02
-3.559419e-05 7.247472e+02 2.905568e+02 8.023140e+02
-3.438118e-05 7.247097e+02 2.905418e+02 8.022725e+02
-3.323321e-05 7.246804e+02 2.905301e+02 8.022401e+02
-3.214657e-05 7.247183e+02 2.905452e+02 8.022820e+02
-3.111767e-05 7.247482e+02 2.905572e+02 8.023151e+02
-3.014360e-05 7.247066e+02 2.905406e+02 8.022691e+02
-2.922170e-05 7.247335e+02 2.905513e+02 8.022989e+02
-2.834954e-05 7.246928e+02 2.905350e+02 8.022538e+02
-2.752529e-05 7.247485e+02 2.905574e+02 8.023155e+02
-2.674731e-05 7.247573e+02 2.905609e+02 8.023252e+02
-2.601394e-05 7.247418e+02 2.905547e+02 8.023080e+02
-2.532351e-05 7.247174e+02 2.905449e+02 8.022810e+02
-2.467475e-05 7.247545e+02 2.905598e+02 8.023221e+02
-2.406674e-05 7.247332e+02 2.905512e+02 8.022985e+02
-2.349836e-05 7.247268e+02 2.905487e+02 8.022915e+02
-2.296854e-05 7.247160e+02 2.905443e+02 8.022795e+02
-2.247636e-05 7.247441e+02 2.905556e+02 8.023106e+02
-2.202089e-05 7.247010e+02 2.905383e+02 8.022629e+02
-2.160124e-05 7.247241e+02 2.905476e+02 8.022885e+02
-2.121638e-05 7.247116e+02 2.905426e+02 8.022746e+02
-2.086557e-05 7.247275e+02 2.905489e+02 8.022922e+02
-2.054814e-05 7.246980e+02 2.905371e+02 8.022595e+02
-2.026298e-05 7.247053e+02 2.905400e+02 8.022676e+02
-2.000934e-05 7.246917e+02 2.905346e+02 8.022526e+02
-1.978639e-05 7.246588e+02 2.905214e+02 8.022162e+02
-1.959314e-05 7.246136e+02 2.905033e+02 8.021661e+02
-1.942867e-05 7.246229e+02 2.905070e+02 8.021764e+02
-1.929187e-05 7.246121e+02 2.905027e+02 8.021644e+02
-1.918183e-05 7.246390e+02 2.905135e+02 8.021943e+02
-1.909763e-05 7.246462e+02 2.905164e+02 8.022023e+02
-1.903806e-05 7.246536e+02 2.905193e+02 8.022105e+02
-1.900229e-05 7.246127e+02 2.905029e+02 8.021651e+02
-1.898931e-05 7.245868e+02 2.904925e+02 8.021365e+02
-1.899764e-05 7.246021e+02 2.904987e+02 8.021534e+02
-1.902621e-05 7.246085e+02 2.905012e+02 8.021605e+02
-1.907401e-05 7.246480e+02 2.905171e+02 8.022042e+02
-1.913972e-05 7.246351e+02 2.905119e+02 8.021899e+02
-1.922215e-05 7.245915e+02 2.904944e+02 8.021417e+02
-1.931988e-05 7.245580e+02 2.904810e+02 8.021046e+02
-1.943151e-05 7.245049e+02 2.904597e+02 8.020457e+02
-1.955564e-05 7.245130e+02 2.904630e+02 8.020548e+02
-1.969085e-05 7.245228e+02 2.904669e+02 8.020656e+02
-1.983582e-05 7.245328e+02 2.904709e+02 8.020767e+02
-1.998910e-05 7.245646e+02 2.904836e+02 8.021119e+02
-2.014891e-05 7.245514e+02 2.904783e+02 8.020973e+02
-2.031385e-05 7.245653e+02 2.904839e+02 8.021127e+02
-2.048270e-05 7.245539e+02 2.904793e+02 8.021000e+02
-2.065393e-05 7.245549e+02 2.904798e+02 8.021012e+02
-2.082572e-05 7.246129e+02 2.905030e+02 8.021653e+02
-2.099685e-05 7.246210e+02 2.905062e+02 8.021743e+02
-2.116687e-05 7.246333e+02 2.905112e+02 8.021880e+02
-2.133469e-05 7.246446e+02 2.905157e+02 8.022004e+02
-2.149918e-05 7.246023e+02 2.904987e+02 8.021536e+02
-2.165945e-05 7.246067e+02 2.905005e+02 8.021585e+02
-2.181443e-05 7.245691e+02 2.904855e+02 8.021169e+02
-2.196329e-05 7.245953e+02 2.904959e+02 8.021458e+02
-2.210543e-05 7.245291e+02 2.904694e+02 8.020726e+02
-2.224040e-05 7.245123e+02 2.904627e+02 8.020540e+02
-2.236808e-05 7.244995e+02 2.904575e+02 8.020398e+02
-2.248855e-05 7.245080e+02 2.904609e+02 8.020492e+02
-2.260156e-05 7.245086e+02 2.904612e+02 8.020498e+02
-2.270737e-05 7.245463e+02 2.904763e+02 8.020916e+02
