#E_pot  E_kin  T  P
-1.235701e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.237050e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.241131e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.247548e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.255935e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.265949e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.277270e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.289595e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.302643e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.316145e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.329852e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.343529e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.356958e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.369936e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.382279e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.393819e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.404410e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.413924e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.422258e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.429329e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.435081e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.439484e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.442535e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.444261e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.444720e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.444002e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.442232e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.439575e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.436233e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.432458e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.428551e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.424876e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.421868e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.420050e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.420057e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.422661e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.428822e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.439738e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.456934e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.482373e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.518628e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.569119e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.638460e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.732972e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.861449e-04 7.524107e+02 3.016474e+02 8.329383e+02
-2.036315e-04 7.524107e+02 3.016474e+02 8.329383e+02
-2.275394e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.604677e-04 7.524108e+02 3.016474e+02 8.329383e+02
-3.062709e-04 7.524108e+02 3.016474e+02 8.329384e+02
